movieId	summary
1	A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
2	When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.
3	John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.
4	Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.
5	George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.
6	A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
7	An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.
8	Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
9	A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
10	James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.
11	Comedy-drama about a widowed U.S. President and a lobbyist who fall in love. It's all above-board, but "politics is perception", and sparks fly anyway.
12	Mel Brooks' parody of the classic vampire story and its famous film adaptations.
13	An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.
14	A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.
15	A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16	A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.
17	Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.
18	Four interlocking tales that take place in a fading hotel on New Year's Eve.
19	Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.
20	A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.
21	A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.
22	An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23	Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24	An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
25	Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
26	The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.
27	Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
28	Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though promising, had poor family connections. When her father rents out the family estate to Admiral Croft, Anne is thrown into company with Frederick, because his sister is Mrs. Croft. Frederick is now a rich and successful Captain, and a highly eligible bachelor. Whom will he marry? One of Anne's sister's husband's sisters? Or will he and Anne rekindle the old flame?
29	A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.
30	A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31	An ex-Marine turned teacher struggles to connect with her students in an inner city school.
32	In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.
34	Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.
36	A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.
38	Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.
39	A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.
40	A South African preacher goes to search for his wayward son, who has committed a crime in the big city.
41	The classic Shakespearean play about a murderously scheming King staged in an alternative fascist England setting.
42	A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.
43	The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.
44	Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
45	A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.
46	Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
47	Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
48	An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
49	An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.
50	A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
52	When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.
53	Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. But the youngest italian, Gino, once alone with Spiro, encounter a few problems. Far from his roots, loosing his identity in deep Albania, he begins to change...
54	A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.
55	Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems. Georgia lives a very ordered life with husband, house and children, and Sadie does everything to get her attention.
57	After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.
58	Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
60	Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick.
61	When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.
62	A frustrated composer finds fulfillment as a high school music teacher.
63	A parody of several U.S. films about being in the 'Hood', for instance "Boyz n the Hood", "South Central", "Menace II Society", "Higher Learning" and "Juice".
64	A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.
65	Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.
66	Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.
68	After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.
69	Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night.
70	Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.
71	Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.
72	A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.
73	A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.
74	Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.
75	A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.
76	Soldiers attempting to negotiate the end to a long-running war discover the robots they built to assassinate enemy combatants have gained sentience and are plotting against both sides.
77	A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.
78	Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.
79	A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.
80	Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.
81	Five different criminals face imminent death after botching a job quite badly.
82	A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.
83	A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
85	In the 1800s a naturalist marries into a family of British country gentry.
86	Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87	A young boy befriends a larcenous orangutan in a luxury hotel.
88	A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
89	An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.
92	A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.
93	A ship sails into Brooklyn with all its crew dead. But something gets off and the killing continues on land. The vampire is looking for a specific woman - half-human, half-vampire. Rita's the cop detective investigating the many killings.
94	A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95	Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96	A group of theater actors plays "Hamlet" in a provincial village, faced with their own temptations, disappointments, and joys.
97	24 hours in the lives of three young men in the French suburbs the day after a violent riot.
99	A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with "she said" and "he said." When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.
100	The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.
101	Three friends plan to pull off a simple robbery and go on the run.
102	A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.
103	A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife's and others' memory and maybe find the killer and the mass murderer in a related present case.
